subject,course_number,course_text_narrative,title_short_desc
ENG,5673,Young Adult Literature examines the history and evolution of young adult literature and the ways in which these texts affect an adolescent audience.  Students will read theory and scholarship to broaden their understanding of this dynamic field.,Young Adult Literature
ENG,4673,Young Adult Literature examines the history and evoluation of young adult literature and the ways in which these texts affect an adolescent audience.  Students will read theory and scholarship to broaden their understanding of this dynamic field.  Prerequisite(s):  ENG 1113 and 1213.,Young Adult Literature
CSDY,4283,"Writing the Short Story requires students to produce short fiction and complete writing assignments designed to strengthen writing skills.  Emphasis is given to contemporary examples of the short story form and the elements of fiction.  Prerequisite(s):  ENG 1113, ENG 1213, and CSDY 3273.",Writing the Short Story
CSDY,4273,Writing the Novel provides advanced instruction in the craft of writing a novel intended for publication through the study of published novels and workshop-styles critique of student-generated novel installments. This course may be taken a maximum of three times for credit.,Writing The Novel
CSDY,4583,"Writing Science Fiction and Fantasy is an intensive, workshop-based creative writing course that provides students with a comprehensive overview of the history, composition, revision and marketing of works of science fiction and fantasy literature.  This course may be taken three times for credit.  Prerequisite(s):  ENG 1113 and ENG 1213.",Writing SciFi/Fantasy
CSDY,5583,"Writing Science Fiction and Fantasy is an intensive, workshop-based creative writing course that provides students with a comprehensive overview of the history, composition, revision and marketing of works of science fiction and fantasy literature.",Writing SciFi/Fantasy
CSDY,5313,Writing Mystery and Adventure requires students to read popular and classic Mystery/Adventure stories and write creative papers in both genres. Students will research and compare historical and contemporary works and prepare a scholarly paper analyzing additional works of a contemporary author.  Prerequisite(s):  Enrollment open to Creative Writing majors only.,Writing Mystery/Adventure
CSDY,5533,"Writing for Television requires students to read television scripts, view and analyze television shows, and write creatively in the television genre.  Prerequisite(s):  Enrollment open to Creative Writing majors only.",Writing For Television
ENG,4643,"Writing for Nonprofits addresses the technical writing skills necessary for work in a nonprofit organization. Students will learn about the wide variety of writing situations and audiences they will encounter as part of a nonprofit, including writing for grants, applications, fundraising, newsletters, social media, and internal communication. Prerequisite(s):  ENG 1113, ENG 1213 and junior or senior standing.",Writing for Nonprofits
ENG,5393,"Writing for Nonprofits addresses the technical writing skills necessary for work in a nonprofit organization. Students will learn about the wide variety of writing situations and audiences they will encounter as part of a nonprofit, including writing for grants, applications, fundraising, newsletters, social media, and internal communication.",Writing for Nonprofits
CSDY,3363,"Writing for Movies, Television, and Stage is an intensive, workshop-based creative writing course that provides students with a comprehensive overview of the history, composition, revision, and marketing of dramatic writing, with specific attention to the writing of screenplays, teleplays, and stage plays. Prerequisites: ENG 1113, ENG 1213, and CSDY 2513.",Writing for Movies/TV/Stage
CJ,1313,"Writing for Criminal Justice Professionals focuses on the unique types of writing required in the criminal justice field, including but not limited to research papers, investigative and prosecutorial reports, press releases, search warrants, and probation reports.  Emphasis will be placed on clear and effective writing.  As part of the learning process, students will critique the writing of others.  Students will learn and be able to demonstrate their ability to use the American Psychological Association (APA) citation style.  Prerequisite(s):  Enrollment open to Criminal Justice majors only.",Writing for CJ Professionals
CSDY,5413,"Writing for children allows students to try writing for various age groups from infants through young adults. The course looks at the history of writing for children and the psychology of learning to read. Award winning books and authors will be studied, and the habits of successful writing will be explored.",Writing For Children
CSDY,4413,"Writing for children allows students to try writing for various age groups from infants through young adults.  The course looks at the history of writing for children and the psychology of learning to read.  Award winning books and authors will be studied, and the habits of successful writing will be explored.  This course may be taken three times for credit.  Prerequisite(s):  Junior/senior standing.",Writing For Children
